"region","sexo","edad","educ","ingreso","univ","genero"
3,1,76,6,187000,0,"Hombre"
8,2,53,9,278000,0,"Mujer"
1,2,60,3,100000,0,"Mujer"
6,1,55,5,600000,0,"Hombre"
15,2,42,5,NA,0,"Mujer"
4,2,57,1,NA,0,"Mujer"
4,1,27,11,953333,1,"Hombre"
13,1,83,1,115000,0,"Hombre"
12,1,38,6,800000,0,"Hombre"
5,2,31,11,270000,1,"Mujer"
4,2,26,8,NA,NA,"Mujer"
2,2,3,0,NA,NA,"Mujer"
6,1,85,3,800000,0,"Hombre"
5,2,49,8,NA,0,"Mujer"
12,1,10,1,NA,NA,"Hombre"
8,1,1,0,NA,NA,"Hombre"
9,1,62,3,NA,0,"Hombre"
16,1,43,5,322500,0,"Hombre"
5,2,24,5,NA,NA,"Mujer"
13,2,5,0,NA,NA,"Mujer"
12,2,11,1,NA,NA,"Mujer"
13,2,13,1,NA,NA,"Mujer"
5,2,60,1,75000,0,"Mujer"
11,1,59,9,250000,0,"Hombre"
4,1,20,6,272000,NA,"Hombre"
13,1,4,0,NA,NA,"Hombre"
13,1,21,3,NA,NA,"Hombre"
2,2,21,9,NA,NA,"Mujer"
7,2,21,9,NA,NA,"Mujer"
13,2,32,0,NA,0,"Mujer"
8,2,70,5,250000,0,"Mujer"
9,1,68,5,1050000,0,"Hombre"
7,1,38,0,NA,0,"Hombre"
10,2,48,9,267623,0,"Mujer"
13,1,70,1,112000,0,"Hombre"
7,1,76,0,66667,0,"Hombre"
1,2,27,11,NA,1,"Mujer"
7,2,60,2,100000,0,"Mujer"
12,2,33,11,1643750,1,"Mujer"
10,2,12,1,NA,NA,"Mujer"
13,2,38,5,603333,0,"Mujer"
6,2,10,1,NA,NA,"Mujer"
13,2,28,7,NA,0,"Mujer"
1,2,50,4,NA,0,"Mujer"
13,2,34,6,429144,0,"Mujer"
2,2,20,9,NA,NA,"Mujer"
8,2,54,6,310000,0,"Mujer"
5,1,19,6,NA,NA,"Hombre"
6,2,28,6,NA,0,"Mujer"
13,1,36,11,5980000,1,"Hombre"
8,2,75,9,550000,0,"Mujer"
13,1,25,5,300000,NA,"Hombre"
7,2,64,2,120000,0,"Mujer"
2,2,21,6,NA,NA,"Mujer"
5,2,7,1,NA,NA,"Mujer"
9,2,20,3,230000,NA,"Mujer"
15,2,41,5,200000,0,"Mujer"
13,1,54,11,16667,1,"Hombre"
6,2,50,2,25000,0,"Mujer"
7,1,59,2,305833,0,"Hombre"
1,2,22,6,240000,NA,"Mujer"
1,1,23,9,NA,NA,"Hombre"
13,2,27,7,NA,NA,"Mujer"
